ie_cliente,id,name,active,module,type,description,priority,category,pipelines,boards
2,CF_dN7MGZSGCOBNkqeY,Perfil,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_rpGmBJSxSRVE9meR,Interesse,True,CONTACT,NUMBER,0,0,0,0,0.0
2,CF_rpGmBJSoCRVE8meR,Fase da lead,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_R7PDNOSGCZ8L7qWJ,Cidade,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_AE5mp6SjCdkL4qO3,Estado,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_075MJBSjC6QKJMaz,Tags,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_VRAqdlSdCE3A2qbL,RD Station ID,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_0WGqoGSKC9OVZqnP,Origem do lead,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_oJZmPVSKCGwnoqgv,Já concluiu a sua obra?,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_VrKMbOSaCOJ1KmZY,Qual é o seu Perfil?,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_49RM1vSLCBOWvmBW,Você quer receber informações de qual produto Lesco?,True,CONTACT,TEXT,0,0,0,0,0.0
2,CF_Rg7MnEiLCAZLyqvd,Perfil,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_42AmaJiaSwVN5Djl,Interesse,True,DEAL,NUMBER,0,0,0,0,0.0
2,CF_42AmaJiZCwVNbDjl,Fase da lead,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_Lo1qjyi1CnxK3Der,Cidade,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_Pj3qYeieCr8lEqQe,Estado,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_YXoDkki3CVk40DGE,Tags,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_dVKmQ5i1CdeJQmWR,RD Station ID,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_A4wMWNigC6QwkqB8,Origem do lead,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_6rRmweivC6d3dq4X,Já concluiu a sua obra?,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_vG0mR0ikCk6bgqbV,Qual é o seu Perfil?,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_2ojMxLiPCZkOpMOE,Você quer receber informações de qual produto Lesco?,True,DEAL,TEXT,0,0,0,0,0.0
2,CF_vG0mR0iwik6AzqbV,Origem,True,DEAL,SINGLE_OPTION,Origem do Lead,1,"{""id"": 9328}",0,0.0
