ie_cliente,id,title,createdby,responsible,doneuser,source,origin,donesource,datecreated,duedate,donedate,firsttry,lasttry,type,duration,totaltries,totaldays,notes,donenotes,contacts,deals,companies,projects,entitycustomfields
2,35690819,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T12:02:36.000+00:00,2023-08-03T12:02:00.000+00:00,2023-08-03T12:02:53.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24699645}]","[{""id"": 24294135}]",0,0,[]
2,35691051,Solicitar projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T12:06:23.000+00:00,2023-08-07T13:00:00.000+00:00,2023-08-07T13:06:50.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25214893}]","[{""id"": 24814784}]",0,0,[]
2,35691270,Solicitar projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T12:10:15.000+00:00,2023-08-07T12:09:00.000+00:00,2023-08-07T12:14:10.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25221025}]","[{""id"": 24819405}]",0,0,[]
2,35691338,Solicitar projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T12:11:28.000+00:00,2023-08-07T12:11:00.000+00:00,2023-08-03T19:32:33.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25378328}]","[{""id"": 24990696}]",0,0,[]
2,35692339,2° contato,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T12:25:56.000+00:00,2023-08-09T18:00:00.000+00:00,2023-08-31T16:15:46.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25382132}]","[{""id"": 24994527}]",0,0,[]
2,35692654,Calcular,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T12:30:21.000+00:00,2023-08-03T12:30:00.000+00:00,2023-08-03T13:40:16.000+00:00,0,0,"{""id"": 120307}",0,0,0,0,0,"[{""id"": 25267659}]","[{""id"": 24864660}]",0,0,[]
2,35692844,Retorno projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T12:32:53.000+00:00,2023-08-08T12:32:00.000+00:00,2023-08-08T13:06:09.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25365447}]","[{""id"": 24978870}]",0,0,[]
2,35693162,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T12:37:06.000+00:00,2023-08-03T12:36:00.000+00:00,2023-08-03T12:37:12.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24928332}]","[{""id"": 24520591}]",0,0,[]
2,35693611,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T12:42:56.000+00:00,2023-08-03T12:42:00.000+00:00,2023-08-03T12:43:01.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24680741}]","[{""id"": 24271881}]",0,0,[]
2,35693891,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T12:45:52.000+00:00,2023-08-03T12:45:00.000+00:00,2023-08-03T12:45:58.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24948893}]","[{""id"": 24543384}]",0,0,[]
2,35698121,2° retorno proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T13:29:58.000+00:00,2023-08-11T13:29:00.000+00:00,2023-08-16T14:16:51.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25256723}]","[{""id"": 24854965}]",0,0,[]
2,35698180,2° Retorno:  proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T13:30:41.000+00:00,2023-08-11T13:30:00.000+00:00,2023-08-18T19:17:48.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25256421}]","[{""id"": 24854619}]",0,0,[]
2,35698306,3° Retorno: Retorno cotação,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T13:31:56.000+00:00,2023-08-11T13:31:00.000+00:00,2023-08-25T15:04:35.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 24994555}]","[{""id"": 24569500}]",0,0,[]
2,35698554,2° Retorno: proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T13:34:16.000+00:00,2023-08-11T13:34:00.000+00:00,2023-08-31T16:15:39.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 22401354}]","[{""id"": 22080850}]",0,0,[]
2,35699188,enviar,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T13:40:32.000+00:00,2023-08-03T19:00:00.000+00:00,2023-08-03T14:41:36.000+00:00,0,0,"{""id"": 120303}",0,0,0,0,0,"[{""id"": 25267659}]","[{""id"": 24864660}]",0,0,[]
2,35701539,2° Retorno:  proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T14:05:05.000+00:00,2023-08-09T14:04:00.000+00:00,2023-08-25T15:01:24.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25229229}]","[{""id"": 24827842}]",0,0,[]
2,35704712,Retorno: enviar,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T14:41:44.000+00:00,2023-08-10T14:41:00.000+00:00,2023-08-25T14:59:14.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25267659}]","[{""id"": 24864660}]",0,0,[]
2,35706029,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T14:59:17.000+00:00,2023-08-10T14:59:00.000+00:00,2023-08-25T15:00:14.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,0,"[{""id"": 25001261}]",0,0,[]
2,35712567,projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T17:11:06.000+00:00,2023-08-03T17:10:00.000+00:00,2023-08-03T19:33:11.000+00:00,0,0,"{""id"": 120308}",0,0,0,0,0,"[{""id"": 25388385}]","[{""id"": 25003079}]",0,0,[]
2,35712757,2° Retorno: proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T17:13:52.000+00:00,2023-08-07T17:13:00.000+00:00,2023-08-24T14:29:49.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25013740}]","[{""id"": 24591345}]",0,0,[]
2,35714052,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T17:29:36.000+00:00,2023-08-03T17:29:00.000+00:00,2023-08-04T12:03:28.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 25001761}]","[{""id"": 24577468}]",0,0,[]
